,Index Number,Name,Address,Project Status,Occupancy Year,Operator,URL,Geom,Local Area,unit_count,unit_category,unit_detail
0,6,,2137 W 1st Ave,Completed,1984,Helen's Court Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=6,POINT (-123.1536261 49.27104183),Kitsilano,35,Clientele,Families
1,7,,1349 E 2nd Ave,Completed,1987,Laura Jamieson Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=7,POINT (-123.07614157 49.26900321),Grandview-Woodland,42,Clientele,Families
2,8,,1507 E 2nd Ave,Completed,1984,Westerdale Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=8,POINT (-123.07304966 49.26896961),Grandview-Woodland,10,Clientele,Families
3,18,,1560 E 4th Ave,Completed,1989,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=18,POINT (-123.0718679 49.2666326),Grandview-Woodland,20,Clientele,Families
4,20,,675 E 5th Ave,Completed,1985,Northern Way Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=20,POINT (-123.09065341 49.26639799),Mount Pleasant,44,Clientele,Families
5,25,,1040 E 7th Ave,Completed,1974,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=25,POINT (-123.08252037 49.26400829),Mount Pleasant,11,Clientele,Families
6,33,,2875 E 6th Ave,Completed,1990,Sch'eyk Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=33,POINT (-123.04515669 49.26502759),Hastings-Sunrise,23,Clientele,Families
7,34,,756 E 6th Ave,Completed,1986,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=34,POINT (-123.08812236 49.26495984),Mount Pleasant,13,Clientele,Families
8,39,,101 E 7th Ave,Completed,1982,Quebec Manor Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=39,POINT (-123.10244623 49.26487539),Mount Pleasant,10,Clientele,Families
9,42,,860 E 7th Ave,Completed,1987,BC Indigenous Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=42,POINT (-123.08569338 49.26403654),Mount Pleasant,12,Clientele,Families
10,47,,2425 Brunswick St,Completed,1988,Sch'eyk Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=47,POINT (-123.09754471 49.26336944),Mount Pleasant,21,Clientele,Families
11,51,,1230 E 8th Ave,Completed,1987,China Creek Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=51,POINT (-123.07922139 49.26307424),Mount Pleasant,27,Clientele,Families
12,53,,2829 E 8th Ave,Completed,1983,Access Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=53,POINT (-123.04651609 49.26321325),Hastings-Sunrise,30,Clientele,Families
13,59,,506 E 10th Ave,Completed,1982,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=59,POINT (-123.09281748 49.26128682),Mount Pleasant,2,Clientele,Families
16,76,,420 W 16th Ave,Completed,1976,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=76,POINT (-123.11276834 49.25663841),Riley Park,24,Clientele,Families
17,81,,2270 E 25th Ave,Completed,1971,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=81,POINT (-123.05903401 49.24741422),Kensington-Cedar Cottage,48,Clientele,Families
18,86,,3545 E 43rd Ave,Completed,1985,HW Flesher Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=86,POINT (-123.0282517 49.23143252),Killarney,75,Clientele,Families
20,94,,1530 Adanac St,Completed,1987,Lu'Ma Native Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=94,POINT (-123.0734715 49.27733673),Grandview-Woodland,21,Clientele,Families
22,104,,118 Alexander St,Completed,1987,Four Sisters Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=104,POINT (-123.10153493 49.28370049),Downtown,16,Clientele,Families
27,115,,3502-98 Bluejay Cr,Completed,1981,Matheson Heights Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=115,POINT (-123.02641787 49.21275024),Killarney,106,Clientele,Families
28,117,,2450 Penticton St,Completed,1985,Sch'eyk Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=117,POINT (-123.05180854 49.26231048),Hastings-Sunrise,12,Clientele,Families
29,120,,2525 Waterloo St,Completed,1984,Broadview Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=120,POINT (-123.18021442 49.2640035),Kitsilano,10,Clientele,Families
31,129,,512 Campbell Ave,Completed,1967,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=129,POINT (-123.08401895 49.27900972),Strathcona,241,Clientele,Families
32,132,,3400 E 5th Av,Completed,1962,BC Housing,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=132,POINT (-123.03033314 49.26414502),Hastings-Sunrise,69,Clientele,Families
34,134,,1515 Charles St,Completed,1986,More Than a Roof Housing Society,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=134,POINT (-123.07301669 49.27331573),Grandview-Woodland,22,Clientele,Families
35,140,,3502-3672 Cordiale Dr,Completed,1982,Le Coeur Co-op Housing Association,https://app.vancouver.ca/NonMarketHousing_NET/ProjectDetails.aspx?IndexNum=140,POINT (-123.02601179 49.20962267),Killarney,63,Clientele,Families
